Zeit  1 - Standardmessrate [s]	PW2DC3MR [g]	MX440B_CH 2 [V]	MX440B_CH 3 [V]	PW2DC3MR_1 [V]
0	180,10	-1000000	-1000000	-1000000	
0,02000	180,02	-1000000	-1000000	-1000000	
0,04000	180,04	-1000000	-1000000	-1000000	
0,06000	180,39	-1000000	-1000000	-1000000	
0,08000	180,31	-1000000	-1000000	-1000000	
0,1000	180,54	-1000000	-1000000	-1000000	
0,1200	181,39	-1000000	-1000000	-1000000	
0,1400	182,91	-1000000	-1000000	-1000000	
0,1600	183,91	-1000000	-1000000	-1000000	
0,1800	183,81	-1000000	-1000000	-1000000	
0,2000	183,30	-1000000	-1000000	-1000000	
0,2200	183,44	-1000000	-1000000	-1000000	
0,2400	183,09	-1000000	-1000000	-1000000	
0,2600	182,16	-1000000	-1000000	-1000000	
0,2800	181,99	-1000000	-1000000	-1000000	
0,3000	182,95	-1000000	-1000000	-1000000	
0,3200	183,94	-1000000	-1000000	-1000000	
0,3400	184,12	-1000000	-1000000	-1000000	
0,3600	184,03	-1000000	-1000000	-1000000	
0,3800	183,61	-1000000	-1000000	-1000000	
0,4000	183,62	-1000000	-1000000	-1000000	
0,4200	183,64	-1000000	-1000000	-1000000	
0,4400	183,48	-1000000	-1000000	-1000000	
0,4600	182,79	-1000000	-1000000	-1000000	
0,4800	182,70	-1000000	-1000000	-1000000	
0,5000	183,50	-1000000	-1000000	-1000000	
0,5200	184,14	-1000000	-1000000	-1000000	
0,5400	184,43	-1000000	-1000000	-1000000	
0,5600	184,75	-1000000	-1000000	-1000000	
0,5800	185,38	-1000000	-1000000	-1000000	
0,6000	185,91	-1000000	-1000000	-1000000	
0,6200	185,63	-1000000	-1000000	-1000000	
0,6400	185,40	-1000000	-1000000	-1000000	
0,6600	185,18	-1000000	-1000000	-1000000	
0,6800	184,90	-1000000	-1000000	-1000000	
0,7000	184,45	-1000000	-1000000	-1000000	
0,7200	184,16	-1000000	-1000000	-1000000	
0,7400	184,82	-1000000	-1000000	-1000000	
0,7600	185,75	-1000000	-1000000	-1000000	
0,7800	186,06	-1000000	-1000000	-1000000	
0,8000	185,61	-1000000	-1000000	-1000000	
0,8200	186,15	-1000000	-1000000	-1000000	
0,8400	186,93	-1000000	-1000000	-1000000	
0,8600	187,37	-1000000	-1000000	-1000000	
0,8800	187,07	-1000000	-1000000	-1000000	
0,9000	186,67	-1000000	-1000000	-1000000	
0,9200	186,70	-1000000	-1000000	-1000000	
0,9400	186,88	-1000000	-1000000	-1000000	
0,9600	187,41	-1000000	-1000000	-1000000	
0,9800	187,25	-1000000	-1000000	-1000000	
1,000	187,15	-1000000	-1000000	-1000000	
1,020	188,18	-1000000	-1000000	-1000000	
1,040	188,80	-1000000	-1000000	-1000000	
1,060	188,17	-1000000	-1000000	-1000000	
1,080	187,59	-1000000	-1000000	-1000000	
1,100	188,00	-1000000	-1000000	-1000000	
1,120	187,99	-1000000	-1000000	-1000000	
1,140	187,30	-1000000	-1000000	-1000000	
1,160	186,56	-1000000	-1000000	-1000000	
1,180	187,07	-1000000	-1000000	-1000000	
1,200	188,45	-1000000	-1000000	-1000000	
1,220	189,61	-1000000	-1000000	-1000000	
