Zeit  1 - Standardmessrate [s]	PW2DC3MR [g]	MX440B_CH 2 [V]	MX440B_CH 3 [V]	PW2DC3MR_1 [V]
0	961,08	-1000000	-1000000	-1000000	
0,02000	955,57	-1000000	-1000000	-1000000	
0,04000	952,05	-1000000	-1000000	-1000000	
0,06000	952,83	-1000000	-1000000	-1000000	
0,08000	958,54	-1000000	-1000000	-1000000	
0,1000	967,15	-1000000	-1000000	-1000000	
0,1200	976,18	-1000000	-1000000	-1000000	
0,1400	982,18	-1000000	-1000000	-1000000	
0,1600	982,48	-1000000	-1000000	-1000000	
0,1800	977,54	-1000000	-1000000	-1000000	
0,2000	970,34	-1000000	-1000000	-1000000	
0,2200	964,36	-1000000	-1000000	-1000000	
0,2400	961,42	-1000000	-1000000	-1000000	
0,2600	962,65	-1000000	-1000000	-1000000	
0,2800	967,18	-1000000	-1000000	-1000000	
0,3000	972,63	-1000000	-1000000	-1000000	
0,3200	975,44	-1000000	-1000000	-1000000	
0,3400	974,25	-1000000	-1000000	-1000000	
0,3600	970,54	-1000000	-1000000	-1000000	
0,3800	967,53	-1000000	-1000000	-1000000	
0,4000	966,94	-1000000	-1000000	-1000000	
0,4200	967,41	-1000000	-1000000	-1000000	
0,4400	966,76	-1000000	-1000000	-1000000	
0,4600	966,36	-1000000	-1000000	-1000000	
0,4800	968,84	-1000000	-1000000	-1000000	
0,5000	974,82	-1000000	-1000000	-1000000	
0,5200	981,03	-1000000	-1000000	-1000000	
0,5400	984,44	-1000000	-1000000	-1000000	
0,5600	983,97	-1000000	-1000000	-1000000	
0,5800	981,06	-1000000	-1000000	-1000000	
0,6000	978,09	-1000000	-1000000	-1000000	
0,6200	977,41	-1000000	-1000000	-1000000	
0,6400	979,09	-1000000	-1000000	-1000000	
0,6600	982,11	-1000000	-1000000	-1000000	
0,6800	984,34	-1000000	-1000000	-1000000	
0,7000	984,30	-1000000	-1000000	-1000000	
0,7200	981,20	-1000000	-1000000	-1000000	
0,7400	976,06	-1000000	-1000000	-1000000	
0,7600	970,89	-1000000	-1000000	-1000000	
0,7800	967,62	-1000000	-1000000	-1000000	
0,8000	966,55	-1000000	-1000000	-1000000	
0,8200	968,28	-1000000	-1000000	-1000000	
0,8400	971,67	-1000000	-1000000	-1000000	
0,8600	974,57	-1000000	-1000000	-1000000	
0,8800	974,09	-1000000	-1000000	-1000000	
0,9000	970,52	-1000000	-1000000	-1000000	
0,9200	965,94	-1000000	-1000000	-1000000	
0,9400	962,58	-1000000	-1000000	-1000000	
0,9600	959,98	-1000000	-1000000	-1000000	
0,9800	958,70	-1000000	-1000000	-1000000	
1,000	958,90	-1000000	-1000000	-1000000	
1,020	961,43	-1000000	-1000000	-1000000	
1,040	966,07	-1000000	-1000000	-1000000	
1,060	971,06	-1000000	-1000000	-1000000	
1,080	973,96	-1000000	-1000000	-1000000	
1,100	974,56	-1000000	-1000000	-1000000	
1,120	973,82	-1000000	-1000000	-1000000	
1,140	973,02	-1000000	-1000000	-1000000	
1,160	972,39	-1000000	-1000000	-1000000	
1,180	972,80	-1000000	-1000000	-1000000	
1,200	973,54	-1000000	-1000000	-1000000	
1,220	973,19	-1000000	-1000000	-1000000	
1,240	971,74	-1000000	-1000000	-1000000	
1,260	970,53	-1000000	-1000000	-1000000	
1,280	969,91	-1000000	-1000000	-1000000	
1,300	969,23	-1000000	-1000000	-1000000	
1,320	967,64	-1000000	-1000000	-1000000	
1,340	965,15	-1000000	-1000000	-1000000	
1,360	962,44	-1000000	-1000000	-1000000	
1,380	960,99	-1000000	-1000000	-1000000	
1,400	961,97	-1000000	-1000000	-1000000	
1,420	964,53	-1000000	-1000000	-1000000	
1,440	966,67	-1000000	-1000000	-1000000	
1,460	966,61	-1000000	-1000000	-1000000	
